compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3
"Baricitinib (LY3009104, INCB028050) 0.5uM",86.81,89.03,4.94,85.44,93.17,83.3,35.95,95.37,100.0,100.0,93.0,96.64,65.98,93.13,58.75,92.36,83.93,93.44,89.49,92.84,100.0,93.75,97.43,88.23,97.1,97.66,90.52,97.15,79.56,67.88,92.54,49.48,87.11,15.56,63.45,41.72,74.18,98.7,99.56,88.32,91.82,98.01,84.67,91.64,100.0,100.0,97.01,94.51,95.14,96.43,99.71,94.75,100.0,93.94,85.8,71.04,100.0,99.33,97.12,95.76,95.22,95.14,81.67,19.92,85.33,91.47,92.55,66.98,100.0,92.57,100.0,34.19,77.75,58.61,98.26,97.35,75.01,86.64,83.72,94.33,91.12,96.52,97.11,100.0,94.92,96.36,98.04,99.43,92.73,96.58,94.98,93.87,95.05,94.17,88.53,98.49,99.46,99.54,96.91,91.58,86.2,93.77,96.07,90.66,100.0,94.54,86.21,100.0,83.04,100.0,94.0,100.0,67.13,74.54,95.73,95.73,100.0,93.91,92.69,75.39,83.37,82.53,97.13,93.96,93.25,98.34,99.4,95.99,94.16,96.2,100.0,90.74,69.96,97.74,54.66,100.0,99.42,95.81,1.05,0.0,4.44,96.27,98.8,100.0,99.02,96.84,85.96,62.93,96.35,93.31,34.35,78.5,96.64,95.76,92.6,94.07,48.71,24.67,40.86,40.19,94.95,90.81,80.38,69.75,72.67,92.83,92.98,89.6,93.58,92.66,88.31,81.73,86.92,59.62,100.0,92.68,43.28,52.47,100.0,96.61,97.44,97.09,96.24,100.0,95.71,84.21,81.9,100.0,85.08,95.83,87.55,100.0,100.0,94.39,91.65,100.0,100.0,94.27,91.52,41.27,81.9,99.36,93.06,95.23,95.35,95.03,100.0,92.85,97.87,99.61,95.32,86.92,68.28,95.61,96.85,97.58,93.28,12.23,33.98,63.4,87.06,68.71,40.0,73.83,45.61,81.03,97.23,88.1,86.65,96.43,96.95,89.8,91.52,94.38,53.07,19.19,58.72,90.86,97.72,94.0,54.6,96.8,100.0,40.01,74.41,99.19,18.05,12.28,95.35,81.0,85.76,86.27,78.14,79.55,92.56,92.73,93.02,58.77,99.02,65.44,96.93,100.0,94.85,92.92,14.92,91.49,83.82,12.7,91.28,95.63,94.62,93.2,77.55,91.86,94.67,93.07,100.0,99.87,89.21,100.0,56.13,37.62,90.23,92.65,54.04,1.35,97.73,40.7,86.84,70.34,97.01,94.58,96.31,89.67,82.97,87.71,98.96,35.0
"Doramapimod (BIRB 796, p38 MAP Kinase Inhibitor X) 0.5uM",89.03,99.33,94.06,100.0,100.0,100.0,98.27,95.9,89.84,93.23,93.33,80.89,91.77,86.26,100.0,95.92,93.31,91.5,95.77,100.0,51.75,93.09,96.89,93.03,95.53,89.24,94.16,90.48,95.18,100.0,95.67,99.65,88.62,99.95,97.06,99.68,99.26,92.18,97.95,93.89,100.0,94.78,95.78,94.95,92.73,97.75,100.0,92.47,94.71,94.09,100.0,100.0,100.0,96.4,89.51,94.38,98.38,93.13,100.0,92.58,96.92,96.25,89.81,99.75,100.0,100.0,100.0,100.0,94.73,94.55,91.01,99.94,100.0,100.0,3.89,100.0,96.4,99.58,97.21,100.0,97.1,100.0,99.85,98.62,84.1,88.66,85.63,88.53,43.25,1.68,82.14,85.48,33.3,82.92,68.95,99.91,94.92,97.85,93.7,95.9,98.04,93.51,100.0,100.0,100.0,96.04,91.14,96.44,88.33,98.74,97.73,90.31,97.79,95.64,97.22,95.17,97.09,97.54,98.36,96.31,91.61,98.11,98.7,96.28,68.45,100.0,99.14,100.0,96.75,92.26,100.0,96.91,93.06,97.39,97.07,96.26,92.54,99.23,97.41,100.0,100.0,97.99,7.82,100.0,72.42,100.0,77.7,98.04,100.0,40.95,95.49,83.63,95.83,95.31,100.0,98.88,97.77,94.35,98.68,98.51,97.81,84.67,89.16,100.0,98.74,100.0,98.29,92.32,93.18,95.56,97.5,77.86,94.34,85.36,100.0,98.95,100.0,95.59,93.07,95.15,100.0,99.82,95.45,100.0,100.0,86.26,90.48,100.0,100.0,95.59,86.19,95.12,100.0,92.78,98.27,0.0,19.62,74.97,15.43,99.01,100.0,100.0,99.34,95.77,93.97,98.52,100.0,95.7,91.12,100.0,94.68,95.74,92.67,100.0,99.76,100.0,100.0,100.0,100.0,98.17,96.73,100.0,99.65,98.09,97.0,95.18,96.98,94.58,95.62,87.12,97.85,89.88,87.21,79.37,96.63,90.48,91.58,94.22,96.23,94.49,100.0,80.77,58.06,66.95,76.79,100.0,96.08,98.96,100.0,98.96,97.68,94.23,83.6,100.0,100.0,98.79,92.93,98.76,76.37,96.9,100.0,100.0,100.0,100.0,96.98,95.43,100.0,93.06,94.62,99.55,73.7,100.0,100.0,94.56,93.33,100.0,99.26,20.6,98.33,81.98,75.76,81.08,93.81,92.78,91.66,97.33,95.57,100.0,96.18,93.33,97.59,100.0,100.0,93.61,96.0,76.1,99.68,100.0
JNK Inhibitor VIII 0.5uM,100.0,100.0,92.19,100.0,100.0,100.0,92.9,100.0,95.25,98.46,97.78,100.0,96.12,92.77,100.0,100.0,97.39,100.0,100.0,98.37,99.07,93.61,95.66,100.0,92.48,84.63,83.86,100.0,94.69,100.0,96.54,100.0,100.0,100.0,98.09,97.4,100.0,99.14,100.0,85.03,92.2,100.0,100.0,88.9,97.68,97.62,95.25,96.84,100.0,95.24,98.62,100.0,89.22,100.0,100.0,100.0,88.42,100.0,100.0,97.66,100.0,100.0,96.88,100.0,98.08,96.13,100.0,96.12,96.92,95.07,88.59,99.04,100.0,98.12,95.43,99.54,100.0,98.52,99.16,100.0,100.0,92.63,100.0,97.38,100.0,94.75,99.08,100.0,89.49,100.0,84.22,94.44,97.59,95.9,98.25,100.0,98.61,96.03,92.62,97.55,94.06,91.05,100.0,100.0,99.03,100.0,93.59,85.5,100.0,92.31,99.21,100.0,100.0,83.6,100.0,100.0,99.75,95.41,98.85,100.0,98.89,100.0,98.94,98.47,94.55,100.0,100.0,100.0,100.0,100.0,96.12,100.0,83.69,100.0,100.0,94.93,100.0,100.0,100.0,100.0,99.14,28.12,6.45,51.46,100.0,95.36,100.0,100.0,96.36,97.73,90.54,98.53,93.34,100.0,100.0,86.53,98.98,99.76,94.82,96.9,87.01,90.26,92.45,97.1,97.07,97.42,96.8,96.47,99.55,100.0,91.34,98.76,100.0,100.0,98.87,100.0,100.0,100.0,92.27,95.41,100.0,99.52,100.0,100.0,100.0,95.24,100.0,87.71,89.99,93.17,98.1,93.48,95.92,100.0,100.0,93.85,100.0,100.0,94.69,100.0,96.0,100.0,100.0,100.0,91.85,100.0,100.0,91.14,100.0,97.11,100.0,94.6,94.19,100.0,100.0,100.0,95.23,100.0,100.0,99.92,97.55,100.0,96.91,98.83,94.32,95.4,100.0,88.41,83.73,100.0,100.0,91.44,100.0,96.51,100.0,100.0,99.71,95.34,100.0,100.0,100.0,100.0,91.77,100.0,80.98,97.36,96.42,93.12,95.03,97.44,79.91,95.65,98.83,94.32,100.0,100.0,100.0,97.89,100.0,71.95,100.0,100.0,97.85,94.05,95.98,94.5,97.72,100.0,92.72,99.18,96.62,100.0,99.42,88.6,96.64,99.15,100.0,100.0,100.0,100.0,100.0,100.0,91.16,92.97,97.25,100.0,100.0,100.0,100.0,100.0,92.55,88.15,100.0,93.28,99.25,90.45,90.6,100.0
"TCS ERK 11e (ERK Inhibitor VIII, VX-11e) 0.5uM",99.25,97.07,82.26,99.02,100.0,100.0,90.68,96.66,89.66,88.86,99.03,99.71,71.46,89.96,93.47,100.0,90.08,93.0,95.95,90.33,88.24,100.0,98.16,93.61,92.0,95.02,92.04,88.04,94.69,98.32,96.84,98.41,91.04,97.98,93.63,94.34,100.0,93.31,100.0,34.15,91.57,94.49,80.53,84.11,88.19,81.83,90.79,63.18,68.0,87.61,85.15,97.9,100.0,97.5,80.11,54.35,98.98,94.03,100.0,90.09,94.06,98.24,92.97,91.98,100.0,96.91,100.0,98.09,98.94,94.77,95.06,93.25,100.0,98.26,100.0,100.0,87.52,96.39,94.38,96.16,99.66,100.0,97.03,98.21,95.85,98.41,100.0,95.49,89.75,94.28,97.36,96.64,96.34,85.86,91.16,98.86,100.0,0.56,0.41,97.03,88.95,90.05,99.43,100.0,100.0,93.88,92.07,98.06,79.49,99.27,87.28,100.0,90.63,96.95,94.06,91.16,100.0,100.0,100.0,93.79,86.63,93.81,94.8,100.0,90.61,100.0,94.47,100.0,93.38,94.95,100.0,96.9,98.98,98.62,100.0,98.92,91.62,99.67,98.03,100.0,99.65,93.28,91.22,100.0,98.64,100.0,87.1,100.0,100.0,92.43,91.85,89.96,99.42,100.0,100.0,100.0,98.73,98.02,99.01,100.0,99.48,92.28,97.57,93.55,92.34,86.85,99.37,96.45,91.38,94.14,100.0,84.24,100.0,95.96,100.0,97.83,100.0,97.8,100.0,90.58,100.0,100.0,88.9,98.08,100.0,90.55,89.68,100.0,99.43,96.17,100.0,100.0,100.0,91.65,96.38,100.0,99.95,100.0,100.0,93.59,99.38,98.78,100.0,95.17,95.15,94.52,99.23,66.14,90.68,100.0,92.74,97.65,95.0,93.66,98.27,99.9,100.0,100.0,100.0,99.68,100.0,100.0,92.98,98.16,97.6,99.75,98.74,77.04,72.79,88.57,93.7,77.76,100.0,86.94,100.0,90.29,95.82,98.98,85.67,97.78,87.17,66.74,100.0,100.0,79.43,100.0,100.0,100.0,95.93,100.0,95.34,95.87,93.58,99.03,90.14,71.82,100.0,96.44,100.0,94.08,97.76,100.0,100.0,100.0,94.07,89.84,93.5,88.54,99.1,92.65,100.0,97.89,100.0,100.0,94.8,95.01,100.0,100.0,100.0,97.83,97.91,94.05,93.15,92.67,96.92,95.13,100.0,100.0,92.3,91.34,100.0,81.98,99.39,88.97,95.27,98.2,94.96,100.0
Rho Kinase Inhibitor III Rockout 0.5uM,98.8,91.86,96.15,100.0,96.36,100.0,100.0,100.0,94.67,98.8,100.0,97.72,94.81,100.0,78.03,95.94,93.08,99.81,99.59,95.79,94.03,85.51,90.26,98.55,100.0,93.23,92.99,91.39,99.97,100.0,98.45,100.0,98.96,100.0,90.49,100.0,92.64,100.0,100.0,100.0,90.64,95.97,99.71,91.71,98.19,100.0,100.0,91.99,96.04,97.55,100.0,96.97,91.21,75.18,100.0,99.27,100.0,100.0,100.0,79.19,95.04,100.0,95.01,94.95,100.0,100.0,92.56,100.0,99.0,100.0,93.92,97.69,100.0,98.08,92.57,100.0,93.01,77.62,90.49,77.45,100.0,98.7,97.34,100.0,100.0,100.0,100.0,99.4,100.0,98.21,100.0,100.0,100.0,99.98,89.72,95.64,83.68,98.94,100.0,97.66,91.59,100.0,92.72,100.0,98.91,84.58,94.53,97.89,91.51,100.0,100.0,100.0,98.69,100.0,97.73,95.37,94.9,99.24,100.0,98.37,100.0,100.0,62.34,99.53,54.35,97.37,94.06,100.0,93.8,100.0,100.0,100.0,96.45,90.5,100.0,100.0,100.0,94.78,100.0,93.84,95.27,100.0,100.0,100.0,94.17,100.0,100.0,92.04,90.71,93.71,92.77,100.0,100.0,100.0,97.76,96.14,94.52,100.0,98.01,94.72,96.46,100.0,94.86,100.0,100.0,84.56,100.0,96.75,96.2,83.31,100.0,95.2,75.5,39.18,99.88,100.0,96.73,90.99,96.03,100.0,100.0,93.54,100.0,78.91,96.43,100.0,76.91,100.0,91.61,95.41,93.41,100.0,100.0,95.08,97.2,100.0,100.0,100.0,100.0,79.94,97.81,99.12,83.99,100.0,96.71,93.8,100.0,100.0,97.13,94.96,100.0,96.57,90.31,100.0,93.51,100.0,100.0,91.61,100.0,97.4,95.06,89.49,83.22,81.5,84.89,99.37,82.38,95.5,90.68,100.0,98.26,95.75,64.81,77.66,38.27,66.4,80.81,100.0,99.9,95.29,54.25,95.35,93.18,97.28,89.91,95.95,84.16,71.86,98.95,81.55,93.82,97.35,88.96,100.0,93.77,91.02,92.82,90.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.28,100.0,99.83,98.6,95.45,88.42,92.07,100.0,93.42,100.0,100.0,100.0,95.84,96.95,100.0,100.0,96.9,100.0,100.0,100.0,98.14,83.76,100.0,82.98,100.0,89.31,96.88,100.0,97.06,100.0,100.0,100.0
PP121 0.5uM,4.78,6.15,3.9,88.53,97.61,65.74,32.87,10.86,33.78,7.83,5.39,4.0,62.49,98.51,95.28,99.28,84.8,85.73,4.33,14.5,9.37,1.46,92.72,98.94,12.59,60.84,84.99,97.87,2.34,94.75,100.0,99.99,100.0,93.44,97.28,93.3,100.0,100.0,100.0,86.5,95.35,98.49,89.87,84.31,97.98,100.0,97.98,90.74,89.06,100.0,94.93,99.04,99.7,86.79,100.0,92.59,19.1,8.09,5.33,88.35,96.79,93.21,84.06,98.36,81.97,89.36,98.31,76.24,100.0,58.98,100.0,100.0,100.0,98.82,14.51,100.0,98.25,93.29,91.72,94.85,84.0,94.67,40.41,24.88,32.8,59.74,36.48,38.61,17.12,48.35,57.25,20.1,32.65,22.57,13.69,77.62,65.47,100.0,90.74,65.75,84.71,88.25,8.35,6.75,31.3,26.15,2.19,20.17,71.16,4.82,27.61,2.31,1.64,16.53,95.59,99.94,100.0,100.0,99.45,87.59,81.74,90.15,26.71,6.12,60.45,100.0,99.15,96.41,96.51,43.79,100.0,96.39,90.13,47.75,84.21,91.95,31.94,81.11,67.07,53.31,80.53,98.37,88.21,100.0,5.22,53.81,8.26,36.63,72.25,17.66,12.78,1.87,6.91,100.0,96.65,99.28,79.91,68.39,78.05,69.64,93.22,69.91,29.54,34.04,11.76,76.73,94.67,71.76,97.06,71.5,76.48,56.99,100.0,95.13,92.98,91.58,92.31,93.06,100.0,24.04,32.26,20.42,18.42,91.87,55.98,52.82,67.17,92.0,74.13,92.73,92.6,100.0,91.06,32.65,94.13,88.59,99.06,100.0,99.01,99.81,94.12,92.14,90.02,96.62,85.79,80.31,100.0,91.2,99.48,46.89,35.62,70.75,94.53,96.72,94.67,95.96,87.6,86.12,89.72,64.01,94.13,71.38,79.67,33.76,43.66,87.61,51.2,27.45,24.57,93.46,60.44,15.83,94.25,93.57,95.31,98.89,96.86,73.47,95.07,87.88,100.0,64.73,5.33,0.0,47.58,88.11,51.46,63.94,99.61,72.49,97.49,91.44,92.66,94.21,93.21,98.5,97.03,5.01,15.23,74.92,81.24,100.0,97.71,90.82,91.1,8.59,79.04,98.8,99.36,90.97,98.1,73.62,79.9,62.99,98.3,57.23,25.03,100.0,94.84,87.99,89.42,79.39,95.4,8.98,39.16,43.59,84.87,95.93,99.55,100.0,81.59,94.87,28.97,47.2,1.38,8.09,99.36,97.9
GZD824 0.5uM,6.69,5.9,0.0,99.39,95.35,94.25,98.44,97.66,98.11,98.37,98.6,1.88,100.0,100.0,94.49,34.33,90.89,86.85,1.04,0.0,0.0,6.32,100.0,99.12,13.21,19.95,84.28,93.48,0.43,84.49,95.49,100.0,100.0,99.74,97.32,94.41,100.0,98.68,89.19,63.81,92.2,96.77,96.79,99.01,96.19,99.28,93.37,98.7,100.0,98.2,94.19,96.2,99.27,97.83,76.82,68.46,100.0,100.0,99.38,88.83,90.22,96.64,93.03,100.0,97.56,100.0,97.49,78.02,100.0,1.13,25.07,97.59,100.0,100.0,2.55,99.28,98.82,100.0,94.95,98.42,94.73,97.74,24.98,5.74,0.0,2.02,2.5,1.63,0.86,0.0,1.32,0.0,0.66,0.83,1.09,48.0,5.45,96.85,100.0,99.9,24.86,17.65,0.95,2.19,2.31,2.46,1.27,1.35,1.88,1.51,1.06,1.19,0.61,4.37,99.84,100.0,99.44,97.85,100.0,100.0,92.49,100.0,98.48,2.17,14.35,100.0,100.0,100.0,75.77,96.84,69.37,11.98,94.54,92.09,22.2,93.74,93.11,61.56,0.91,6.19,1.32,83.31,39.04,100.0,1.31,3.02,3.27,9.22,100.0,16.52,0.97,0.45,3.09,94.72,97.94,100.0,97.62,96.14,97.72,97.9,91.61,77.0,12.85,3.35,69.98,23.56,100.0,89.91,57.84,11.05,65.28,18.44,74.01,36.33,100.0,100.0,61.3,77.89,97.08,90.4,100.0,100.0,100.0,94.44,97.61,63.41,81.85,100.0,100.0,1.44,100.0,100.0,88.53,85.06,100.0,0.7,2.46,97.13,92.05,10.06,75.06,100.0,99.57,91.34,100.0,100.0,100.0,94.69,100.0,0.0,1.73,98.75,98.56,97.75,96.26,100.0,100.0,93.42,14.58,96.61,97.35,95.69,89.76,94.18,100.0,90.02,96.8,88.82,91.36,100.0,100.0,88.34,95.84,100.0,96.12,100.0,100.0,100.0,98.87,94.83,92.75,13.44,0.0,0.04,47.74,96.37,94.47,88.8,100.0,80.9,38.45,29.53,19.4,83.73,99.05,97.34,99.01,31.14,18.0,96.77,1.39,100.0,100.0,100.0,97.9,100.0,85.91,85.18,91.12,78.51,2.26,12.82,4.61,35.59,100.0,17.31,3.6,1.27,100.0,6.82,6.24,11.51,100.0,2.37,82.6,4.42,84.63,87.07,98.46,15.03,100.0,95.82,96.52,91.04,2.62,0.42,99.54,100.0
Staurosporine 0.5uM,23.01,5.25,2.17,7.49,5.51,2.97,0.86,83.74,91.87,100.0,100.0,100.0,1.59,4.72,2.43,4.3,5.21,13.27,1.57,6.22,100.0,32.6,0.52,3.53,7.82,8.67,2.63,32.74,1.46,2.22,4.82,0.89,4.71,0.47,1.64,3.05,0.7,34.82,0.0,0.24,2.7,10.22,0.25,8.5,8.24,5.05,15.98,2.78,1.92,1.02,11.71,43.78,9.24,1.38,1.63,1.33,79.71,91.23,78.21,91.45,75.74,96.05,87.9,66.62,11.88,3.71,85.99,6.62,100.0,8.01,75.0,3.55,4.07,11.03,3.83,4.83,3.12,4.6,0.85,69.87,31.33,96.16,32.45,31.03,21.33,13.99,6.7,9.28,5.57,11.52,25.67,11.97,27.6,75.16,37.57,35.87,48.8,97.21,97.45,4.34,0.82,4.11,1.71,3.25,3.69,47.2,0.27,7.88,1.12,4.29,1.76,5.5,3.59,0.53,56.82,50.31,20.52,20.79,7.36,0.74,5.78,4.4,6.94,3.26,1.91,96.48,84.68,100.0,55.34,14.78,40.33,53.43,0.3,3.14,7.47,3.46,1.71,2.89,2.07,1.85,0.74,100.0,100.0,100.0,4.46,0.46,1.84,5.51,18.65,0.28,1.01,1.18,5.72,40.4,85.14,45.97,0.21,0.02,0.72,0.0,3.83,8.43,1.25,5.41,0.97,1.57,15.22,2.18,7.59,7.1,3.26,1.09,20.33,5.0,1.75,1.99,1.24,6.74,79.63,0.0,1.11,1.6,4.43,12.21,2.77,3.99,37.02,79.9,91.92,46.8,88.63,95.78,27.18,20.53,14.2,100.0,98.83,86.64,100.0,0.14,4.7,1.59,0.68,2.37,4.95,2.34,4.74,3.74,27.77,2.11,2.28,4.41,1.43,3.42,1.47,10.4,0.63,1.93,3.05,1.23,4.13,3.03,5.61,0.8,0.41,0.0,4.59,1.42,0.98,2.81,21.98,1.0,5.01,3.31,7.12,0.15,2.96,36.88,94.75,37.79,3.5,2.71,100.0,0.64,46.96,18.72,0.61,0.72,44.75,0.86,3.52,0.0,1.61,1.67,8.59,7.77,23.47,0.14,1.83,20.35,100.0,17.84,40.95,48.4,1.0,3.22,10.67,10.02,8.0,4.66,7.96,0.93,1.02,2.11,0.0,91.13,100.0,22.0,2.83,0.77,0.37,0.99,1.18,7.33,0.54,1.85,7.27,3.27,2.7,1.82,84.12,73.1,93.14,73.62,4.48,98.32,5.36,1.91
AZD3463 0.5uM,22.62,14.21,0.0,97.19,100.0,100.0,0.84,100.0,98.9,99.33,97.4,84.09,2.67,100.0,64.84,84.97,83.8,16.0,44.16,91.6,94.9,9.28,80.94,91.1,67.66,56.3,79.5,92.69,48.12,67.04,87.22,52.65,73.38,15.3,45.83,19.14,63.49,89.32,46.67,13.1,91.87,95.32,97.9,95.63,97.03,79.33,77.88,91.14,92.06,88.22,94.06,66.54,99.45,94.4,13.64,8.97,99.05,97.16,100.0,99.62,93.86,96.28,11.2,48.93,3.23,29.38,89.66,10.0,100.0,67.84,99.0,30.04,80.79,65.51,95.72,100.0,68.06,6.63,3.27,16.48,35.75,92.69,18.19,61.75,98.93,100.0,92.33,99.29,69.19,31.11,94.15,61.17,100.0,97.5,85.3,36.28,15.3,96.52,80.74,1.42,0.64,0.99,10.25,12.21,15.75,14.6,48.8,9.73,1.35,1.97,41.12,20.46,72.11,88.68,96.96,100.0,95.11,96.14,83.69,84.46,91.0,100.0,97.8,53.43,6.79,60.35,100.0,83.7,16.82,1.07,79.83,80.19,61.56,0.42,25.49,46.99,3.83,77.14,29.74,11.91,18.8,6.45,9.82,33.06,15.22,90.87,61.78,88.02,98.42,26.91,0.0,39.09,62.37,97.27,100.0,100.0,27.46,13.73,19.0,15.85,62.66,30.34,98.09,89.3,9.79,12.31,59.99,33.34,87.72,3.38,35.95,14.01,16.68,15.16,100.0,98.43,88.87,90.69,86.06,88.88,100.0,93.58,100.0,20.93,0.0,91.25,94.5,74.78,100.0,90.8,78.01,65.9,15.0,97.99,91.83,96.55,100.0,100.0,99.57,86.8,54.19,60.22,73.11,70.55,75.49,48.86,94.07,70.47,94.66,37.3,28.87,94.61,3.76,13.53,58.14,100.0,41.54,80.88,87.18,85.28,100.0,85.18,88.0,95.28,97.0,84.68,97.28,2.71,4.85,95.29,100.0,1.89,66.33,64.67,88.72,81.17,95.49,24.67,94.25,27.89,73.12,5.79,100.0,8.67,70.03,68.13,65.65,69.03,93.0,0.0,16.4,8.86,4.16,14.94,92.65,94.99,100.0,3.5,38.46,4.4,22.17,84.74,75.47,33.45,3.48,94.86,11.42,91.1,82.57,45.64,55.41,90.08,93.21,91.37,33.04,95.02,90.22,21.46,100.0,35.07,40.58,37.42,54.9,61.73,6.94,43.74,75.51,7.09,47.46,21.06,80.32,95.68,94.77,73.35,24.84,92.73,80.1,22.53
